User_ID,Session_ID,Event,Timestamp,Device,Region,Channel,Product_Category,Revenue,Bounce_Flag
USR00001,SES00001,Browse,10/28/2025 7:33,Desktop,West,Organic,Home,0,Yes
USR00001,SES00001,Add to Cart,10/28/2025 7:36,Tablet,East,Social Media,Beauty,0,Yes
USR00001,SES00001,Checkout,10/28/2025 7:40,Mobile,West,Email,Beauty,0,Yes
USR00002,SES00002,Browse,10/19/2025 9:15,Desktop,East,Email,Electronics,0,No
USR00002,SES00002,Add to Cart,10/19/2025 9:18,Mobile,West,Social Media,Fashion,0,No
USR00002,SES00002,Checkout,10/19/2025 9:23,Desktop,North,Social Media,Fashion,0,No
USR00002,SES00002,Purchase,10/19/2025 9:27,Mobile,North,Google Ads,Sports,448.18,No
USR00003,SES00003,Browse,10/12/2025 2:19,Desktop,East,Google Ads,Beauty,0,No
USR00003,SES00003,Add to Cart,10/12/2025 2:22,Tablet,South,Social Media,Beauty,0,No
USR00003,SES00003,Checkout,10/12/2025 2:26,Desktop,West,Google Ads,Sports,0,No
USR00003,SES00003,Purchase,10/12/2025 2:29,Mobile,North,Social Media,Beauty,1437.19,No
USR00004,SES00004,Browse,10/5/2025 17:55,Tablet,West,Social Media,Home,0,Yes
USR00005,SES00005,Browse,10/19/2025 12:35,Tablet,West,Google Ads,Electronics,0,Yes
USR00005,SES00005,Add to Cart,10/19/2025 12:37,Desktop,East,Google Ads,Electronics,0,Yes
USR00006,SES00006,Browse,10/6/2025 13:20,Tablet,North,Email,Beauty,0,Yes
USR00007,SES00007,Browse,10/20/2025 15:23,Mobile,South,Google Ads,Home,0,Yes
USR00008,SES00008,Browse,10/13/2025 12:59,Desktop,West,Google Ads,Beauty,0,No
USR00008,SES00008,Add to Cart,10/13/2025 13:02,Desktop,East,Email,Fashion,0,No
USR00008,SES00008,Checkout,10/13/2025 13:07,Tablet,West,Organic,Electronics,0,No
USR00008,SES00008,Purchase,10/13/2025 13:10,Desktop,East,Social Media,Home,304.3,No
USR00009,SES00009,Browse,10/17/2025 10:27,Tablet,South,Organic,Fashion,0,Yes
USR00009,SES00009,Add to Cart,10/17/2025 10:30,Mobile,West,Social Media,Electronics,0,Yes
USR00010,SES00010,Browse,10/30/2025 17:23,Desktop,West,Email,Sports,0,Yes
USR00011,SES00011,Browse,10/23/2025 13:33,Tablet,South,Social Media,Fashion,0,Yes
USR00011,SES00011,Add to Cart,10/23/2025 13:35,Tablet,South,Email,Beauty,0,Yes
USR00011,SES00011,Checkout,10/23/2025 13:39,Tablet,South,Email,Beauty,0,Yes
USR00012,SES00012,Browse,10/30/2025 17:47,Desktop,North,Social Media,Beauty,0,Yes
USR00012,SES00012,Add to Cart,10/30/2025 17:49,Tablet,West,Email,Beauty,0,Yes
USR00013,SES00013,Browse,10/24/2025 9:26,Tablet,East,Social Media,Sports,0,No
USR00013,SES00013,Add to Cart,10/24/2025 9:30,Desktop,East,Organic,Beauty,0,No
USR00013,SES00013,Checkout,10/24/2025 9:35,Desktop,East,Social Media,Sports,0,No
USR00013,SES00013,Purchase,10/24/2025 9:40,Desktop,South,Email,Home,912.3,No
USR00014,SES00014,Browse,10/30/2025 17:13,Tablet,South,Google Ads,Fashion,0,No
USR00014,SES00014,Add to Cart,10/30/2025 17:18,Desktop,West,Google Ads,Home,0,No
USR00014,SES00014,Checkout,10/30/2025 17:23,Desktop,North,Social Media,Home,0,No
USR00014,SES00014,Purchase,10/30/2025 17:25,Tablet,North,Social Media,Home,948.09,No
USR00015,SES00015,Browse,10/13/2025 22:58,Mobile,West,Google Ads,Beauty,0,No
USR00015,SES00015,Add to Cart,10/13/2025 23:02,Mobile,East,Social Media,Beauty,0,No
