User_ID,Session_ID,Stage,Timestamp,Device,Region,Channel,Revenue,Bounce_Flage,Bounce_Flag
1,e7648b11-8c61-43ec-b997-d308ce4f5f04,Visit,43:52.7,Tablet,South,Organic,0,Yes,
1,a49a0e20-7db8-47a0-b2fc-76eec6a023aa,View Product,33:16.0,Tablet,East,Referral,0,Yes,
2,4b001086-caa9-4bd9-9889-b5b2b27b25bd,Visit,23:21.7,Desktop,West,Organic,0,Yes,
3,bb8ce518-54b1-4b16-85fb-756df2ab0c16,Visit,18:42.9,Tablet,South,Paid,0,Yes,
4,a7dcaefc-9786-4b54-a073-ce613acae81b,Visit,26:38.9,Tablet,West,Organic,0,Yes,
5,d4a6a8bf-2fff-4b94-873b-e661199c8181,Visit,28:25.5,Mobile,North,Paid,0,Yes,
6,b83a5417-7e55-4185-8ec0-1d8950bb006f,Visit,06:31.7,Desktop,North,Organic,0,Yes,
7,03546e44-4cf8-43fa-8c72-6d65920e7c97,Visit,17:30.6,Mobile,East,Organic,0,Yes,
8,ab2d70c3-005d-49cf-b006-96563e7c598d,Visit,30:38.0,Desktop,East,Referral,0,Yes,
9,480eedae-3c14-472e-841c-ac5bcc7a637a,Visit,27:50.9,Mobile,South,Referral,0,Yes,
10,a6e0787b-e0db-44d2-ad30-1a7bfbc3f565,Visit,37:23.8,Desktop,East,Paid,0,Yes,
11,ed49fc54-97d3-4088-b90c-eafc110446e0,Visit,57:18.2,Desktop,West,Organic,0,Yes,
12,796df235-dcd1-4611-99d5-56d72de07c6b,Visit,31:02.9,Mobile,West,Paid,0,Yes,
13,6539ddef-2aa4-45fa-9b75-4827eb6f0fec,Visit,32:48.4,Desktop,South,Organic,0,Yes,
14,44b8cbc7-cbd6-41ed-b219-71568573c7c5,Visit,46:22.6,Desktop,South,Organic,0,Yes,
15,379a1fa7-c6de-4d83-acef-abfac8c0ad70,Visit,32:01.7,Tablet,North,Organic,0,Yes,
16,d6fbd560-be34-499c-8296-4458747e4ba7,Visit,47:10.6,Mobile,South,Referral,0,Yes,
17,6a381f17-aee5-4fcf-af11-36ae3e9eff09,View Product,06:16.5,Desktop,East,Organic,0,Yes,
18,ca626b5f-505d-461e-aeca-b1113e7dae7f,Visit,03:21.1,Mobile,South,Referral,0,Yes,
19,9ab8042f-5060-46d0-8a42-8e6d760083c3,Visit,26:42.0,Desktop,West,Paid,0,Yes,
20,0260c619-872d-4012-8548-0e345b61cb63,Visit,13:10.7,Tablet,North,Paid,0,Yes,
21,ff3e5a03-de1c-4011-ac5a-03a21196c223,Visit,43:12.3,Tablet,North,Referral,0,Yes,
22,36b95aa9-d58a-4b53-8e35-ebf4f132630b,Visit,37:48.4,Mobile,West,Referral,0,Yes,
23,13d33429-cc87-4e91-950a-063246c9f213,Visit,23:18.6,Mobile,South,Paid,0,Yes,
24,0ff4be6d-3c76-444b-837f-c4921781ec6f,Visit,12:23.7,Mobile,South,Referral,0,Yes,
25,e8e8ebfd-f45e-4ee9-80f0-ce118901175b,Visit,53:53.7,Mobile,East,Organic,0,Yes,
26,5429952d-042e-4326-9261-5b731f8d7ba4,Visit,40:11.6,Desktop,South,Organic,0,Yes,
27,b7d4e1da-77a5-4c25-9c72-f3d0e8beb3c4,View Product,27:10.9,Tablet,East,Organic,0,Yes,
28,ff81cdee-3194-4fb4-af21-a59bba8e018e,Visit,31:26.7,Mobile,West,Paid,0,Yes,
29,0fc918ce-6298-46be-a205-220941d69634,Add to Cart,21:04.5,Tablet,North,Organic,0,Yes,
30,82ae3dae-b176-498b-896c-3754ab3defd2,Visit,03:01.7,Mobile,East,Organic,0,Yes,
31,c53d7693-a6e9-4fc9-816c-3742f20ca9c2,Visit,13:08.3,Desktop,South,Paid,0,Yes,
32,674af3b1-7add-4b8a-97b0-92c1b30ef602,View Product,59:42.3,Desktop,South,Paid,0,Yes,
33,dac0e0ec-c7cf-4791-8ee1-df179fd39750,Visit,29:58.4,Mobile,North,Organic,0,Yes,
34,8be7e077-190f-41c8-b9e9-9458d7a2bd4d,Visit,51:05.7,Tablet,West,Paid,0,Yes,
35,1d84c959-c276-4f30-b319-aaa209a20cf1,Visit,56:55.9,Tablet,North,Paid,0,Yes,
36,84184e0b-5b59-492e-a0fd-9b079efb1770,Visit,57:38.4,Desktop,North,Paid,0,Yes,
37,13601c43-0009-4d2b-9101-86b46e16c3c2,Visit,27:26.5,Tablet,East,Organic,0,Yes,
38,925c652d-3258-48b1-a817-26436eb89e81,Visit,21:51.0,Tablet,West,Paid,0,Yes,
39,adca9b89-34e2-4b46-a720-ab57d0c58327,Visit,10:40.7,Mobile,South,Organic,0,Yes,
40,eb90350e-e65e-42e5-91a5-e72fba4324f0,Visit,34:03.8,Tablet,East,Organic,0,Yes,
41,22155fa7-fa15-4935-9833-46ce67dc2b29,View Product,25:38.1,Tablet,South,Paid,0,Yes,
42,6d74d580-2df3-4e1e-91cd-f299646b2ba4,Visit,55:28.8,Desktop,South,Paid,0,Yes,
43,760ad510-1e9b-4efa-9615-204b3bfb281c,Visit,28:44.1,Mobile,South,Referral,0,Yes,
44,24106a94-a372-4718-8347-1d356a1dfcbb,Visit,00:01.0,Desktop,North,Organic,0,Yes,
45,567acd70-5053-427a-b193-318d6f0cb7df,Visit,27:37.3,Mobile,East,Paid,0,Yes,
46,35d16613-6aa7-4834-b020-b7d670537680,Visit,32:56.2,Tablet,North,Organic,0,Yes,
47,98b8d7ec-c6d7-4d02-9e0b-05de8719bb2d,Visit,51:17.8,Mobile,East,Referral,0,Yes,
48,22e3939f-3398-4098-9fe1-30d861a3e9c7,Visit,17:00.2,Desktop,West,Organic,0,Yes,
49,f8b20067-93c4-407a-8ada-4c8c8b5a1165,Visit,35:20.9,Mobile,North,Paid,0,Yes,
50,4dc3ece4-da87-4df0-89b7-25f0a001ab4d,Visit,25:53.7,Mobile,South,Organic,0,Yes,
51,c90a336f-9f64-4350-b169-fc4c34f96d94,Visit,25:33.4,Desktop,South,Organic,0,Yes,
52,0a9f725f-8cbc-4052-9022-57f731cead6a,Visit,09:06.5,Desktop,North,Referral,0,Yes,
53,ccbb24b9-5d9b-4563-a686-a10648feb5ff,Visit,23:25.3,Tablet,South,Organic,0,Yes,
54,826ba209-f8ca-41a0-a4ab-47be9b89cbfc,Visit,06:05.8,Desktop,West,Paid,0,Yes,
55,73fed257-29a8-4f07-84ed-4c688cc27739,Visit,30:33.2,Tablet,West,Organic,0,Yes,
56,88419c44-1abe-4dca-94e5-59575ba626c9,Visit,32:01.9,Mobile,East,Referral,0,Yes,
57,05aebe03-1756-46e8-a75a-24fded7d5133,Visit,52:05.6,Desktop,West,Organic,0,Yes,
58,e0946e62-d4dc-4ee2-ad84-fca3a0681c3d,Visit,08:46.4,Mobile,West,Organic,0,Yes,
59,64d83d4c-4b91-480f-90ef-23f09e01a1e7,Visit,27:01.1,Desktop,South,Paid,0,Yes,
60,9725622f-3ca2-4b8e-b243-093fbccd6a42,Visit,30:25.4,Desktop,West,Organic,0,Yes,
61,6566553a-b09b-4a17-b574-e51abc1b80f6,Visit,44:44.2,Mobile,South,Paid,0,Yes,
62,1d9d1e9c-bf61-4f23-9ad3-f1787da8d6cf,Visit,48:36.3,Desktop,South,Paid,0,Yes,
63,f79d3923-0a2e-4148-89e8-9c4f8000732c,Visit,11:57.5,Tablet,North,Referral,0,Yes,
64,2750f346-23cb-4d23-a01f-82c6810abe61,Visit,13:47.1,Mobile,West,Organic,0,Yes,
65,3dbfc556-4251-49b7-a2c2-74be2072654d,Visit,20:58.7,Desktop,East,Referral,0,Yes,
66,20bae383-df57-4450-996b-652f90f4d62a,Visit,23:58.9,Desktop,West,Paid,0,Yes,
67,bbb27303-94e1-443f-9f91-e6b7c4de0d8d,Visit,28:44.2,Mobile,North,Paid,0,Yes,
68,52df79d7-05e6-4a9d-8e8c-d509de3115b2,Visit,39:19.3,Desktop,North,Referral,0,Yes,
69,f762244f-7534-4477-82a8-a5e21fa4a154,Visit,18:12.7,Mobile,South,Organic,0,Yes,
70,e545bec6-46eb-47aa-aa88-20f5bfcc38d5,Visit,18:28.5,Mobile,West,Organic,0,Yes,
71,733daed0-021b-4958-8207-79c81be86cfd,Visit,39:19.4,Desktop,North,Organic,0,Yes,
72,0be4416e-143c-4fb4-867a-8cb9586618b9,Visit,43:14.2,Mobile,North,Paid,0,Yes,
73,2ec2f5bd-c709-4aab-9c1d-f030156fc6f4,Visit,29:08.7,Desktop,South,Paid,0,Yes,
74,53d4f087-29a4-40e0-9fe9-b0e22d30fb50,Visit,12:10.8,Desktop,East,Paid,0,Yes,
75,f0675f6e-b4b4-4612-8fcb-987a916d4d9b,Visit,46:29.2,Mobile,West,Referral,0,Yes,
76,e09ad74a-8211-40da-a40f-1dc85516ab02,Visit,40:12.5,Tablet,South,Organic,0,Yes,
77,a425a55f-0ebe-4db8-a5ac-b17d876f700e,Visit,30:19.8,Tablet,West,Paid,0,Yes,
78,a6835525-8db8-4bd8-b27f-bbca19be23a1,Visit,14:55.5,Desktop,North,Organic,0,Yes,
79,3d6d2adc-1520-4716-b22d-29be64ce5251,Visit,37:47.0,Mobile,East,Referral,0,Yes,
80,d36fd89a-d557-45b9-8450-58372a321563,Visit,09:12.4,Tablet,East,Paid,0,Yes,
81,d1e8dfb1-77e1-4da9-b6b0-e23646f8ecf4,Visit,34:25.8,Mobile,East,Paid,0,Yes,
82,53b36bf9-ef7e-438d-8763-e5515c4aa408,Visit,36:41.7,Mobile,North,Paid,0,Yes,
83,ac9d2705-f59e-4c23-826a-5608ec2935f7,Visit,19:35.1,Tablet,East,Organic,0,Yes,
84,8c29d5ea-1978-4f1e-9e51-d6defe9e9223,Visit,49:03.6,Tablet,South,Organic,0,Yes,
85,ed1cb8c5-8444-4ef0-af84-94f69defea3b,View Product,23:47.3,Tablet,North,Organic,0,Yes,
86,58c418c8-9a85-4255-ab6e-0e6f8126da5d,Visit,40:53.0,Mobile,South,Organic,0,Yes,
87,ae8c097f-077f-47db-8c2b-6bead6ad1cd3,Visit,43:38.8,Mobile,East,Organic,0,Yes,
88,21ad71a1-1990-4ca0-86d4-3aa4d41c2834,Visit,51:42.1,Desktop,West,Paid,0,Yes,
89,fbe79eab-9800-484b-8700-7da8523a1a94,Visit,05:29.9,Mobile,West,Paid,0,Yes,
90,742d8ed0-4b04-450c-b787-18b65896b683,Visit,03:22.0,Tablet,South,Organic,0,Yes,
91,acdf84c8-b751-4337-9339-d7fa20081d44,Visit,27:29.2,Tablet,North,Referral,0,Yes,
92,d406ffd6-0147-4207-832b-1d0df0145541,Visit,56:25.4,Mobile,East,Referral,0,Yes,
93,d2fc908a-8b3d-43fe-afa8-dbe1bf57cec8,Visit,29:18.2,Desktop,East,Referral,0,Yes,
94,490c2f59-58bb-4854-90d2-56ff4a942783,Visit,39:09.5,Tablet,South,Paid,0,Yes,
95,28c8242d-0892-42db-ba02-15ec3891c486,Visit,48:14.2,Tablet,West,Paid,0,Yes,
96,b3968971-9f48-44e1-9746-00ef65e3eb14,Visit,57:15.4,Tablet,West,Organic,0,Yes,
97,f0dca60e-5e75-43b1-8dc9-ef2d1bc71a4d,View Product,52:52.8,Desktop,North,Organic,0,Yes,
98,806ae803-e76c-4058-8b61-0dde9d5d7fed,Visit,15:46.1,Tablet,East,Referral,0,Yes,
99,9adc04be-e4fc-4bfe-8143-72ee9bc6bc8d,Visit,24:19.9,Tablet,South,Organic,0,Yes,
100,0dbcdf63-c6f7-47c1-ad6f-3c4d42f44980,Visit,51:02.7,Tablet,North,Referral,0,Yes,
101,a46235f8-305c-490c-b6ff-9d32c351d758,Visit,39:26.8,Mobile,North,Paid,0,Yes,
102,833ec623-be38-4c56-ae3d-2b1f33f87e63,Visit,59:41.9,Mobile,South,Organic,0,Yes,
103,bb753c36-30c4-49a6-b09b-1d381d86d937,Visit,53:43.4,Desktop,South,Paid,0,Yes,
104,c75ba5ce-d110-468d-8962-aca7f803ca83,Visit,38:39.1,Mobile,East,Organic,0,Yes,
